"filename", "language", "C#", "comment", "blank", "total"
"/home/shwy/project-E12/Assets/Scrpts/A pathfinding/PathFinding.cs", "C#", 85, 12, 11, 108
"/home/shwy/project-E12/Assets/Scrpts/A pathfinding/PathNode.cs", "C#", 14, 0, 4, 18
"/home/shwy/project-E12/Assets/Scrpts/Biome/Biome.cs", "C#", 85, 17, 7, 109
"/home/shwy/project-E12/Assets/Scrpts/Crystal/Crystal.cs", "C#", 12, 2, 5, 19
"/home/shwy/project-E12/Assets/Scrpts/Trees/A1TechSkill.cs", "C#", 8, 0, 2, 10
"/home/shwy/project-E12/Assets/Scrpts/Trees/A2TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/E1TechSkill.cs", "C#", 8, 0, 3, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/F1TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/F2TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/F3TechSkill.cs", "C#", 16, 1, 3, 20
"/home/shwy/project-E12/Assets/Scrpts/Trees/H1TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/K1TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/K2TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/K3TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/M1TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/M2TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/M3TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/P1TechSkill.cs", "C#", 20, 0, 3, 23
"/home/shwy/project-E12/Assets/Scrpts/Trees/P2TechSkill.cs", "C#", 5, 0, 3, 8
"/home/shwy/project-E12/Assets/Scrpts/Trees/P3TechSkill.cs", "C#", 8, 0, 2, 10
"/home/shwy/project-E12/Assets/Scrpts/Trees/P4TechSkill.cs", "C#", 8, 0, 2, 10
"/home/shwy/project-E12/Assets/Scrpts/Trees/P5TechSkill.cs", "C#", 8, 0, 2, 10
"/home/shwy/project-E12/Assets/Scrpts/Trees/R1TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/R2TechSkill.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/Trees/TechSkill.cs", "C#", 92, 4, 13, 109
"/home/shwy/project-E12/Assets/Scrpts/Trees/TechTree.cs", "C#", 15, 0, 4, 19
"/home/shwy/project-E12/Assets/Scrpts/UI/BlockUI.cs", "C#", 10, 0, 2, 12
"/home/shwy/project-E12/Assets/Scrpts/UI/BuildingButton.cs", "C#", 6, 0, 3, 9
"/home/shwy/project-E12/Assets/Scrpts/UI/DisplayItems.cs", "C#", 45, 2, 11, 58
"/home/shwy/project-E12/Assets/Scrpts/UI/DistrictProductionList.cs", "C#", 104, 19, 29, 152
"/home/shwy/project-E12/Assets/Scrpts/UI/DragDrop.cs", "C#", 64, 12, 16, 92
"/home/shwy/project-E12/Assets/Scrpts/UI/HealthBar.cs", "C#", 40, 1, 7, 48
"/home/shwy/project-E12/Assets/Scrpts/UI/ItemProductionList.cs", "C#", 67, 18, 18, 103
"/home/shwy/project-E12/Assets/Scrpts/UI/OptionsMenu.cs", "C#", 11, 0, 3, 14
"/home/shwy/project-E12/Assets/Scrpts/UI/PopulationUpdate.cs", "C#", 16, 0, 2, 18
"/home/shwy/project-E12/Assets/Scrpts/UI/ProductionUpdate.cs", "C#", 16, 0, 2, 18
"/home/shwy/project-E12/Assets/Scrpts/UI/UIController.cs", "C#", 63, 2, 5, 70
"/home/shwy/project-E12/Assets/Scrpts/UI/UnitProductionList.cs", "C#", 84, 16, 20, 120
"/home/shwy/project-E12/Assets/Scrpts/UI/makingButton.cs", "C#", 61, 5, 11, 77
"/home/shwy/project-E12/Assets/Scrpts/UI/minimapCamCont.cs", "C#", 22, 5, 4, 31
"/home/shwy/project-E12/Assets/Scrpts/building/AnimalTrap.cs", "C#", 36, 4, 7, 47
"/home/shwy/project-E12/Assets/Scrpts/building/Building.cs", "C#", 105, 66, 25, 196
"/home/shwy/project-E12/Assets/Scrpts/building/City.cs", "C#", 158, 18, 34, 210
"/home/shwy/project-E12/Assets/Scrpts/building/District.cs", "C#", 95, 14, 11, 120
"/home/shwy/project-E12/Assets/Scrpts/building/Improvement.cs", "C#", 14, 10, 2, 26
"/home/shwy/project-E12/Assets/Scrpts/controller/AIController.cs", "C#", 66, 3, 20, 89
"/home/shwy/project-E12/Assets/Scrpts/controller/CameraController.cs", "C#", 46, 4, 16, 66
"/home/shwy/project-E12/Assets/Scrpts/controller/MouseController.cs", "C#", 128, 21, 41, 190
"/home/shwy/project-E12/Assets/Scrpts/controller/NPCController.cs", "C#", 96, 6, 9, 111
"/home/shwy/project-E12/Assets/Scrpts/controller/PlayerController.cs", "C#", 109, 74, 15, 198
"/home/shwy/project-E12/Assets/Scrpts/hex/Hex.cs", "C#", 82, 22, 17, 121
"/home/shwy/project-E12/Assets/Scrpts/hex/HexComponent.cs", "C#", 134, 65, 25, 224
"/home/shwy/project-E12/Assets/Scrpts/hex/HexMap.cs", "C#", 103, 28, 52, 183
"/home/shwy/project-E12/Assets/Scrpts/hex/HexMapGenerator.cs", "C#", 167, 9, 19, 195
"/home/shwy/project-E12/Assets/Scrpts/hex/HexOperations.cs", "C#", 257, 65, 63, 385
"/home/shwy/project-E12/Assets/Scrpts/item/Item.cs", "C#", 24, 0, 4, 28
"/home/shwy/project-E12/Assets/Scrpts/kingdom/AirKingdom.cs", "C#", 11, 5, 2, 18
"/home/shwy/project-E12/Assets/Scrpts/kingdom/DarkKingdom.cs", "C#", 11, 1, 2, 14
"/home/shwy/project-E12/Assets/Scrpts/kingdom/EarthKingdom.cs", "C#", 11, 4, 2, 17
"/home/shwy/project-E12/Assets/Scrpts/kingdom/FireKingdom.cs", "C#", 12, 1, 5, 18
"/home/shwy/project-E12/Assets/Scrpts/kingdom/Kingdom.cs", "C#", 73, 14, 16, 103
